Customer ID,Satisfaction Score,Churn Score,Contract_Month-to-Month,Number of Referrals,Online Security,Monthly Charge,Offer_Offer E,Offer_Offer A,Contract_Two Year
8779-QRDMV,0.5,0.945054945054945,1,0.0,0,0.2129353233830845,0,0,0
7495-OOKFY,0.5,0.7032967032967034,1,0.0909090909090909,0,0.6208955223880598,1,0,0
1658-BYGOY,0.25,0.8351648351648352,1,0.0,0,0.7681592039800995,0,0,0
4598-XLKNJ,0.25,0.9120879120879122,1,0.0909090909090909,0,0.7985074626865671,0,0,0
4846-WHAFZ,0.25,0.6813186813186813,1,0.0909090909090909,0,0.5796019900497512,0,0,0
4412-YLTKF,0.0,0.989010989010989,1,0.0,0,0.5950248756218905,0,0,0
0390-DCFDQ,0.25,0.7802197802197802,1,0.0909090909090909,0,0.5194029850746269,1,0,0
3445-HXXGF,0.0,0.945054945054945,1,0.5454545454545454,0,0.2691542288557213,0,0,0
2656-FMOKZ,0.25,0.945054945054945,1,0.0,0,0.5592039800995025,0,0,0
2070-FNEXE,0.25,0.8351648351648352,1,0.0,1,0.5791044776119403,1,0,0
0094-OIFMO,0.0,0.8791208791208792,1,0.0,0,0.763681592039801,0,0,0
9947-OTFQU,0.0,0.8901098901098902,1,0.0,0,0.5587064676616916,0,0,0
9514-JDSKI,0.25,0.6593406593406593,1,0.0909090909090909,0,0.218407960199005,1,0,0
7273-TEFQD,0.25,1.0,1,0.0,0,0.2278606965174129,1,0,0
3606-TWKGI,0.0,0.8681318681318682,1,0.0,0,0.882089552238806,0,0,0
4385-GZQXV,0.0,0.8351648351648352,1,0.0,0,0.7582089552238807,0,0,0
3488-PGMQJ,0.25,0.8241758241758242,1,0.0,0,0.5597014925373134,0,0,0
7534-BFESC,0.25,0.945054945054945,1,0.0,0,0.5756218905472636,0,0,0
8098-LLAZX,0.5,0.8791208791208792,1,0.0,0,0.7681592039800995,1,0,0
0265-EDXBD,0.25,0.7032967032967034,1,0.1818181818181818,0,0.5636815920398011,0,0,0
2840-XANRC,0.25,0.7472527472527473,1,0.0909090909090909,0,0.7452736318407961,0,0,0
5020-ZSTTY,0.0,0.8571428571428572,0,0.0,1,0.6388059701492538,0,0,0
5804-LEPIM,0.5,0.7472527472527473,1,0.0,0,0.5184079601990049,1,0,0
0623-IIHUG,0.0,0.934065934065934,1,0.0,1,0.235323383084577,0,0,0
9057-MSWCO,0.0,0.945054945054945,1,0.0,1,0.1243781094527363,0,0,0
4895-TMWIR,0.0,0.8241758241758242,1,0.0909090909090909,0,0.0169154228855721,0,0,0
0533-BNWKF,0.0,0.945054945054945,1,0.1818181818181818,0,0.6686567164179105,0,0,0
0334-GDDSO,0.0,0.7472527472527473,1,0.0,0,0.6278606965174128,1,0,0
5564-NEMQO,0.25,0.6813186813186813,1,0.0,0,0.5676616915422885,1,0,0
6235-VDHOM,0.25,0.9230769230769232,1,0.0,0,0.1014925373134328,1,0,0
5609-CEBID,0.0,0.9010989010989012,1,0.0,0,0.7547263681592039,0,0,0
5956-VKDTT,0.0,0.8461538461538461,1,0.3636363636363636,0,0.5582089552238805,1,0,0
0257-ZESQC,0.0,0.945054945054945,1,0.1818181818181818,1,0.5666666666666667,0,0,0
2865-TCHJW,0.0,0.7582417582417583,1,0.0,0,0.7059701492537314,0,0,0
5192-EBGOV,0.0,0.6703296703296704,1,0.0,0,0.6711442786069651,0,0,0
3419-SNJJD,0.0,0.945054945054945,1,0.2727272727272727,1,0.8656716417910447,0,0,0
4554-YGZIH,0.25,1.0,1,0.2727272727272727,0,0.7144278606965173,0,0,0
5099-BAILX,0.25,0.6593406593406593,1,0.0909090909090909,0,0.9203980099502488,0,0,0
